job,task,machine,subtask,start,end
63c0a59d555eaee8e3f01856,0,0,mob,44937,44937
63c0a59d555eaee8e3f01856,0,0,main,44938,44952
63c0a59d555eaee8e3f01856,1,1,mob,44971,44971
63c0a59d555eaee8e3f01856,1,1,main,44972,44986
63c0a59d555eaee8e3f01856,2,2,mob,45003,45003
63c0a59d555eaee8e3f01856,2,2,main,45004,45018
63c0a59d555eaee8e3f01857,0,0,demob,44968,44968
63c0a59d555eaee8e3f01857,0,0,main,44953,44967
63c0a59d555eaee8e3f01857,1,1,demob,45002,45002
63c0a59d555eaee8e3f01857,1,1,main,44987,45001
63c0a59d555eaee8e3f01857,2,2,demob,45034,45034
63c0a59d555eaee8e3f01857,2,2,main,45019,45033
63c0a59d555eaee8e3f01858,0,3,mob,44937,44937
63c0a59d555eaee8e3f01858,0,3,demob,44953,44953
63c0a59d555eaee8e3f01858,0,3,main,44938,44952
63c0a59d555eaee8e3f01858,1,1,mob,44954,44954
63c0a59d555eaee8e3f01858,1,1,demob,44970,44970
63c0a59d555eaee8e3f01858,1,1,main,44955,44969
63c0a59d555eaee8e3f01858,2,2,mob,44971,44971
63c0a59d555eaee8e3f01858,2,2,demob,44987,44987
63c0a59d555eaee8e3f01858,2,2,main,44972,44986